epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,226.744,0.69026,0.72535,0.84678,0.98521,1,0.995,0.82917,0.62992,0.67346,0.83867,0.0006932,0.0006932,0.0006932
68,230.333,0.66802,0.72631,0.82738,0.98521,1,0.995,0.82917,0.62992,0.67346,0.83867,0.0006734,0.0006734,0.0006734
69,233.497,0.94827,0.82009,0.94031,0.98521,1,0.995,0.82917,0.62992,0.67346,0.83867,0.0006536,0.0006536,0.0006536
70,236.675,0.71938,0.75579,0.8645,0.98833,1,0.995,0.78568,0.70397,0.65839,0.85246,0.0006338,0.0006338,0.0006338
71,239.795,0.79437,0.85877,0.94115,0.98833,1,0.995,0.78568,0.70397,0.65839,0.85246,0.000614,0.000614,0.000614
72,243.141,0.8122,0.74858,0.87709,0.98833,1,0.995,0.78568,0.70397,0.65839,0.85246,0.0005942,0.0005942,0.0005942
73,246.291,0.69406,0.85631,0.85891,0.98833,1,0.995,0.78568,0.70397,0.65839,0.85246,0.0005744,0.0005744,0.0005744
74,249.671,0.74055,0.78891,0.86912,0.98843,1,0.995,0.81455,0.72052,0.60001,0.858,0.0005546,0.0005546,0.0005546
75,253.129,0.70632,0.70607,0.86019,0.98843,1,0.995,0.81455,0.72052,0.60001,0.858,0.0005348,0.0005348,0.0005348
76,256.848,0.70948,0.71389,0.86064,0.98843,1,0.995,0.81455,0.72052,0.60001,0.858,0.000515,0.000515,0.000515
77,260.056,0.64728,0.70325,0.87722,0.98843,1,0.995,0.81455,0.72052,0.60001,0.858,0.0004952,0.0004952,0.0004952
78,263.233,0.70534,0.76044,0.86186,0.98833,1,0.995,0.83317,0.69997,0.58398,0.85166,0.0004754,0.0004754,0.0004754
79,266.489,0.71214,0.7603,0.88395,0.98833,1,0.995,0.83317,0.69997,0.58398,0.85166,0.0004556,0.0004556,0.0004556
80,269.526,0.67127,0.78972,0.88024,0.98833,1,0.995,0.83317,0.69997,0.58398,0.85166,0.0004358,0.0004358,0.0004358
81,272.605,0.7006,0.72052,0.89245,0.98833,1,0.995,0.83317,0.69997,0.58398,0.85166,0.000416,0.000416,0.000416
82,275.705,0.68589,0.68139,0.86369,0.98849,1,0.995,0.80225,0.66215,0.58397,0.84259,0.0003962,0.0003962,0.0003962
83,279.096,0.64443,0.70002,0.86452,0.98849,1,0.995,0.80225,0.66215,0.58397,0.84259,0.0003764,0.0003764,0.0003764
84,282.27,0.67474,0.70961,0.86743,0.98849,1,0.995,0.80225,0.66215,0.58397,0.84259,0.0003566,0.0003566,0.0003566
85,285.409,0.69074,0.65917,0.8551,0.98849,1,0.995,0.80225,0.66215,0.58397,0.84259,0.0003368,0.0003368,0.0003368
86,288.717,0.70274,0.74182,0.88202,0.98867,1,0.995,0.82717,0.63266,0.60074,0.83693,0.000317,0.000317,0.000317
87,291.787,0.65779,0.7375,0.89047,0.98867,1,0.995,0.82717,0.63266,0.60074,0.83693,0.0002972,0.0002972,0.0002972
88,294.856,0.68267,0.70663,0.88003,0.98867,1,0.995,0.82717,0.63266,0.60074,0.83693,0.0002774,0.0002774,0.0002774
89,298.001,0.6611,0.72367,0.85949,0.98867,1,0.995,0.82717,0.63266,0.60074,0.83693,0.0002576,0.0002576,0.0002576
90,301.123,0.72752,0.82258,0.90326,0.98873,1,0.995,0.82717,0.60911,0.60853,0.83357,0.0002378,0.0002378,0.0002378
91,304.487,0.56865,0.75816,0.83881,0.98873,1,0.995,0.82717,0.60911,0.60853,0.83357,0.000218,0.000218,0.000218
92,307.826,0.69886,0.81638,0.88101,0.98873,1,0.995,0.82717,0.60911,0.60853,0.83357,0.0001982,0.0001982,0.0001982
93,311.024,0.57267,0.78558,0.83219,0.98873,1,0.995,0.82717,0.60911,0.60853,0.83357,0.0001784,0.0001784,0.0001784
94,314.332,0.64934,0.76625,0.86499,0.98877,1,0.995,0.85813,0.59265,0.59541,0.83339,0.0001586,0.0001586,0.0001586
95,318.077,0.63595,0.78331,0.84258,0.98877,1,0.995,0.85813,0.59265,0.59541,0.83339,0.0001388,0.0001388,0.0001388
96,321.042,0.60098,0.77812,0.83742,0.98877,1,0.995,0.85813,0.59265,0.59541,0.83339,0.000119,0.000119,0.000119
97,324.026,0.53696,0.79372,0.82671,0.98877,1,0.995,0.85813,0.59265,0.59541,0.83339,9.92e-05,9.92e-05,9.92e-05
98,327.004,0.64781,0.78479,0.85136,0.98862,1,0.995,0.852,0.57799,0.58153,0.83446,7.94e-05,7.94e-05,7.94e-05
99,329.956,0.60913,0.74941,0.85305,0.98862,1,0.995,0.852,0.57799,0.58153,0.83446,5.96e-05,5.96e-05,5.96e-05
100,332.988,0.7293,0.90371,0.84587,0.98862,1,0.995,0.852,0.57799,0.58153,0.83446,3.98e-05,3.98e-05,3.98e-05
